NoOptC0,NoOptC1,NoOptC2,NoOptC3,NoOptCpp0,NoOptCpp1,NoOptCpp2,NoOptCpp3,OptC0,OptC1,OptC2,OptC3,OptCpp0,OptCpp1,OptCpp2,OptCpp3
62566,43846,35341,34252,131064,30340,34748,23995,46301,9021,5889,4252,179265,9155,5977,5997
62917,43529,34493,34213,130536,30617,34825,24446,46140,8993,6239,4009,179732,9067,5969,5909
62571,43550,34707,34144,130477,47538,34857,23763,46186,9059,5895,4039,179900,9046,5962,5910
62833,43637,34560,34235,210281,47597,34674,23768,46244,9008,5916,5875,179492,9241,5915,5925
62743,43597,34413,34266,208645,47981,34656,23848,46213,9026,5876,5853,180361,9076,5911,5986
62546,43790,34560,34217,209810,47496,34787,24256,29626,9005,5888,5918,179309,9082,5930,5908
64139,43921,34557,34684,208803,47520,36843,23583,29664,8986,5863,5869,179591,9035,5929,5912
62633,43583,28615,34192,208445,47841,34535,23915,29340,9202,5966,5876,179336,9088,5960,5924
62581,43609,22888,34245,208219,47569,34797,24612,29576,8976,5922,5879,180315,9351,5968,5896
62416,43576,23006,34248,208372,47460,34764,24372,29655,9019,5864,5862,179732,9081,5954,5932
62596,43644,23343,34224,208353,47538,34681,23743,29346,9136,5878,5897,179793,9135,5912,5917
62615,43597,22398,34156,210535,47495,34775,34519,46169,8974,5900,5869,176916,9017,5921,5920
63525,43652,34590,34282,208796,47550,34567,34648,46645,9022,5915,5953,113414,9088,6024,5949
